epoch,accuracy,loss,val_accuracy,val_loss
0,0.37641850113868713,1.3186818361282349,0.469740629196167,1.262685775756836
1,0.666482150554657,0.9508181214332581,0.6484149694442749,0.9111738801002502
2,0.8029338717460632,0.5739108324050903,0.680115282535553,0.7977677583694458
3,0.8480486869812012,0.4232262969017029,0.6685879230499268,0.8090335130691528
4,0.8807085752487183,0.3367604911327362,0.6829971075057983,0.8700454235076904
5,0.9111541509628296,0.2737918794155121,0.6772334575653076,0.9262551665306091
6,0.9266537427902222,0.22471745312213898,0.6743515729904175,0.9953296780586243
7,0.9368945360183716,0.19199125468730927,0.6628242135047913,1.1007941961288452
8,0.9515637755393982,0.16177955269813538,0.6743515729904175,1.110209345817566
9,0.9587600231170654,0.14256198704242706,0.6685879230499268,1.1537326574325562
10,0.9615278244018555,0.12988048791885376,0.6714697480201721,1.2674657106399536
11,0.9651259183883667,0.1187492087483406,0.6743515729904175,1.3379948139190674
12,0.9676169157028198,0.10596521943807602,0.6714697480201721,1.3622019290924072
13,0.9701079726219177,0.09925852715969086,0.6657060384750366,1.4081509113311768
14,0.9723221659660339,0.0913335531949997,0.6628242135047913,1.4973973035812378
15,0.9725989699363708,0.0910247340798378,0.6685879230499268,1.4574402570724487
16,0.9753667116165161,0.0802924856543541,0.651296854019165,1.5509365797042847
17,0.974259614944458,0.08219505846500397,0.6714697480201721,1.5358264446258545
18,0.973706066608429,0.08189930766820908,0.6628242135047913,1.5554014444351196
19,0.9759202599525452,0.07492976635694504,0.6599423885345459,1.6223478317260742
20,0.9778577089309692,0.07061193138360977,0.6599423885345459,1.64743173122406
21,0.9781345129013062,0.07040642201900482,0.6570605039596558,1.6166064739227295
22,0.9759202599525452,0.07279498875141144,0.6628242135047913,1.6795392036437988
23,0.9781345129013062,0.0687374621629715,0.6599423885345459,1.6510764360427856
24,0.9781345129013062,0.06407790631055832,0.6628242135047913,1.7334461212158203
